country,iso3,year,value
Peru,PER,2023,1.09975320783678
Philippines,PHL,2023,0.810000998681961
Poland,POL,2023,-0.365658526875775
Portugal,PRT,2023,1.36912985956796
Puerto Rico,PRI,2023,-0.448878435008411
Qatar,QAT,2023,-0.0489708509014485
Romania,ROU,2023,0.057609980983218
Russian Federation,RUS,2023,-0.285217600763343
Rwanda,RWA,2023,2.1984982050137
Samoa,WSM,2023,0.649190563116911
San Marino,SMR,2023,0.310582221115543
Sao Tome and Principe,STP,2023,1.99754660166419
Saudi Arabia,SAU,2023,3.32877939509885
Senegal,SEN,2023,2.38738348832592
Serbia,SRB,2023,-0.621120944154492
Seychelles,SYC,2023,-0.0876274304874622
Sierra Leone,SLE,2023,2.19524258771884
Singapore,SGP,2023,4.85831607781442
Sint Maarten (Dutch part),SXM,2023,1.43721256242405
Slovak Republic,SVK,2023,-0.0923148510113108
Slovenia,SVN,2023,0.396216782960902
Solomon Islands,SLB,2023,2.39583243369756
Somalia,SOM,2023,3.07939219638342
South Africa,ZAF,2023,1.32810094082844
South Sudan,SSD,2023,4.10816463205266
Spain,ESP,2023,1.22528044685694
Sri Lanka,LKA,2023,-0.651320770103285
St. Kitts and Nevis,KNA,2023,0.104849849656036
St. Lucia,LCA,2023,0.281512532799571
St. Martin (French part),MAF,2023,-4.80716831631216
St. Vincent and the Grenadines,VCT,2023,-0.711025816110263
Sudan,SDN,2023,1.32652175747925
Suriname,SUR,2023,0.914027369002208
Sweden,SWE,2023,0.472717863265105
Switzerland,CHE,2023,1.25678260643691
Syrian Arab Republic,SYR,2023,4.91861526815481
Tajikistan,TJK,2023,2.01812009749216
Tanzania,TZA,2023,2.90250073555304
Thailand,THA,2023,-0.0458651887192549
Timor-Leste,TLS,2023,1.08884743970717
Togo,TGO,2023,2.33345506489111
Tonga,TON,2023,-0.424539964766316
Trinidad and Tobago,TTO,2023,0.124756950526578
Tunisia,TUN,2023,0.666925034776371
Turkiye,TUR,2023,0.406389351118662
Turkmenistan,TKM,2023,1.83970100027524
Turks and Caicos Islands,TCA,2023,0.762674129802692
